algoritmo,entrada,n,comp,time
insert,random,1024,256457,0.0344240665435791
insert,asc,1024,1023,0.00012922286987304688
insert,desc,1024,519523,0.06842589378356934
merge,random,1024,8944,0.002931833267211914
merge,asc,1024,14064,0.002166271209716797
merge,desc,1024,19970,0.0022721290588378906
tim,random,1024,10692,0.0024361610412597656
tim,asc,1024,14724,0.0014660358428955078
tim,desc,1024,23015,0.0020444393157958984
insert,random,1024,261502,0.03567814826965332
insert,asc,1024,1023,0.0001277923583984375
insert,desc,1024,519564,0.0692906379699707
merge,random,1024,8947,0.0027532577514648438
merge,asc,1024,14067,0.002167224884033203
merge,desc,1024,19964,0.0022695064544677734
tim,random,1024,10667,0.0024483203887939453
tim,asc,1024,14699,0.0014736652374267578
tim,desc,1024,22747,0.002111673355102539
insert,random,1024,256464,0.03410458564758301
insert,asc,1024,1023,0.00012683868408203125
insert,desc,1024,519547,0.06833672523498535
merge,random,1024,8947,0.0027611255645751953
merge,asc,1024,14067,0.002173185348510742
merge,desc,1024,20007,0.0022895336151123047
tim,random,1024,10576,0.002444028854370117
tim,asc,1024,14608,0.001486063003540039
tim,desc,1024,22852,0.0020656585693359375
insert,random,1024,258027,0.03491687774658203
insert,asc,1024,1023,0.0001270771026611328
insert,desc,1024,519483,0.06831932067871094
merge,random,1024,8907,0.002744436264038086
merge,asc,1024,14027,0.0021665096282958984
merge,desc,1024,19891,0.0022635459899902344
tim,random,1024,10643,0.002504587173461914
tim,asc,1024,14675,0.0014963150024414062
tim,desc,1024,22835,0.0020437240600585938
insert,random,1024,262985,0.035956621170043945
insert,asc,1024,1023,0.0001266002655029297
insert,desc,1024,519447,0.0678102970123291
merge,random,1024,8946,0.0028228759765625
merge,asc,1024,14066,0.002203226089477539
merge,desc,1024,19932,0.0025577545166015625
tim,random,1024,10611,0.00250244140625
tim,asc,1024,14643,0.0015053749084472656
tim,desc,1024,22719,0.002074003219604492
insert,random,1024,260008,0.03506803512573242
insert,asc,1024,1023,0.00012564659118652344
insert,desc,1024,519434,0.06787753105163574
merge,random,1024,8913,0.002819061279296875
merge,asc,1024,14033,0.002196073532104492
merge,desc,1024,19891,0.0023140907287597656
tim,random,1024,10516,0.002448558807373047
tim,asc,1024,14548,0.0014891624450683594
tim,desc,1024,22654,0.002054452896118164
insert,random,1024,269453,0.03646707534790039
insert,asc,1024,1023,0.0001277923583984375
insert,desc,1024,519553,0.06837177276611328
merge,random,1024,8932,0.002819538116455078
merge,asc,1024,14052,0.002200603485107422
merge,desc,1024,19873,0.0022988319396972656
tim,random,1024,10630,0.0025777816772460938
tim,asc,1024,14662,0.0014820098876953125
tim,desc,1024,22589,0.002014636993408203
insert,random,1024,264600,0.035520315170288086
insert,asc,1024,1023,0.0001266002655029297
insert,desc,1024,519475,0.06828856468200684
merge,random,1024,8958,0.0028066635131835938
merge,asc,1024,14078,0.0023665428161621094
merge,desc,1024,19990,0.002573728561401367
tim,random,1024,10543,0.0024514198303222656
tim,asc,1024,14575,0.001491546630859375
tim,desc,1024,22656,0.0020515918731689453
insert,random,1024,258936,0.034619808197021484
insert,asc,1024,1023,0.0001266002655029297
insert,desc,1024,519385,0.06981992721557617
merge,random,1024,8951,0.0029952526092529297
merge,asc,1024,14071,0.002228975296020508
merge,desc,1024,19975,0.0023126602172851562
tim,random,1024,10633,0.0024597644805908203
tim,asc,1024,14665,0.0014729499816894531
tim,desc,1024,22748,0.0020377635955810547
insert,random,1024,258211,0.03453421592712402
insert,asc,1024,1023,0.00012755393981933594
insert,desc,1024,519519,0.06842350959777832
merge,random,1024,8938,0.002752542495727539
merge,asc,1024,14058,0.0021648406982421875
merge,desc,1024,19947,0.0022716522216796875
tim,random,1024,10562,0.002442598342895508
tim,asc,1024,14594,0.0015804767608642578
tim,desc,1024,22944,0.0020744800567626953
insert,random,32,261,3.457069396972656e-05
insert,asc,32,31,5.4836273193359375e-06
insert,desc,32,496,6.270408630371094e-05
merge,random,32,124,5.984306335449219e-05
merge,asc,32,204,4.506111145019531e-05
merge,desc,32,284,4.458427429199219e-05
tim,random,32,183,4.9591064453125e-05
tim,asc,32,229,2.574920654296875e-05
tim,desc,32,485,5.817413330078125e-05
insert,random,32,263,3.4809112548828125e-05
insert,asc,32,31,5.4836273193359375e-06
insert,desc,32,496,6.222724914550781e-05
merge,random,32,124,5.888938903808594e-05
merge,asc,32,204,4.506111145019531e-05
merge,desc,32,289,4.4345855712890625e-05
tim,random,32,168,4.673004150390625e-05
tim,asc,32,214,2.5987625122070312e-05
tim,desc,32,470,5.841255187988281e-05
insert,random,32,244,3.24249267578125e-05
insert,asc,32,31,5.9604644775390625e-06
insert,desc,32,496,6.508827209472656e-05
merge,random,32,123,5.888938903808594e-05
merge,asc,32,203,4.4345855712890625e-05
merge,desc,32,284,4.458427429199219e-05
tim,random,32,185,4.887580871582031e-05
tim,asc,32,231,2.5272369384765625e-05
tim,desc,32,487,5.650520324707031e-05
insert,random,32,248,3.24249267578125e-05
insert,asc,32,31,5.9604644775390625e-06
insert,desc,32,495,6.461143493652344e-05
merge,random,32,117,5.8650970458984375e-05
merge,asc,32,197,4.482269287109375e-05
merge,desc,32,278,4.410743713378906e-05
tim,random,32,148,4.410743713378906e-05
tim,asc,32,194,2.5987625122070312e-05
tim,desc,32,449,5.6743621826171875e-05
insert,random,32,276,3.695487976074219e-05
insert,asc,32,31,5.7220458984375e-06
insert,desc,32,492,6.127357482910156e-05
merge,random,32,121,5.8650970458984375e-05
merge,asc,32,201,4.482269287109375e-05
merge,desc,32,283,4.4345855712890625e-05
tim,random,32,170,4.6253204345703125e-05
tim,asc,32,216,2.5272369384765625e-05
tim,desc,32,468,5.745887756347656e-05
insert,random,32,261,3.4332275390625e-05
insert,asc,32,31,5.7220458984375e-06
insert,desc,32,496,6.222724914550781e-05
merge,random,32,122,5.936622619628906e-05
merge,asc,32,202,4.506111145019531e-05
merge,desc,32,284,4.410743713378906e-05
tim,random,32,171,4.649162292480469e-05
tim,asc,32,217,2.5510787963867188e-05
tim,desc,32,473,5.698204040527344e-05
insert,random,32,298,3.910064697265625e-05
insert,asc,32,31,5.9604644775390625e-06
insert,desc,32,495,6.270408630371094e-05
merge,random,32,119,5.817413330078125e-05
merge,asc,32,199,4.506111145019531e-05
merge,desc,32,280,4.4345855712890625e-05
tim,random,32,179,4.744529724121094e-05
tim,asc,32,225,2.5033950805664062e-05
tim,desc,32,480,5.602836608886719e-05
insert,random,32,283,3.719329833984375e-05
insert,asc,32,31,5.7220458984375e-06
insert,desc,32,496,6.222724914550781e-05
merge,random,32,123,5.936622619628906e-05
merge,asc,32,203,4.482269287109375e-05
merge,desc,32,288,4.4345855712890625e-05
tim,random,32,174,4.601478576660156e-05
tim,asc,32,220,2.5272369384765625e-05
tim,desc,32,477,5.650520324707031e-05
insert,random,32,234,3.0994415283203125e-05
insert,asc,32,31,5.7220458984375e-06
insert,desc,32,496,6.246566772460938e-05
merge,random,32,120,5.984306335449219e-05
merge,asc,32,200,4.482269287109375e-05
merge,desc,32,283,4.4345855712890625e-05
tim,random,32,191,4.9114227294921875e-05
tim,asc,32,237,2.5510787963867188e-05
tim,desc,32,493,5.698204040527344e-05
insert,random,32,219,3.123283386230469e-05
insert,asc,32,31,5.9604644775390625e-06
insert,desc,32,495,6.222724914550781e-05
merge,random,32,119,6.008148193359375e-05
merge,asc,32,199,4.57763671875e-05
merge,desc,32,283,4.601478576660156e-05
tim,random,32,143,4.4345855712890625e-05
tim,asc,32,189,2.5987625122070312e-05
tim,desc,32,446,5.841255187988281e-05
insert,random,64,1152,0.00014209747314453125
insert,asc,64,63,8.821487426757812e-06
insert,desc,64,2015,0.0002460479736328125
merge,random,64,302,0.000125885009765625
merge,asc,64,494,0.00010204315185546875
merge,desc,64,694,9.918212890625e-05
tim,random,64,412,0.00010228157043457031
tim,asc,64,536,5.7220458984375e-05
tim,desc,64,1080,0.00011897087097167969
insert,random,64,1123,0.00013875961303710938
insert,asc,64,63,9.298324584960938e-06
insert,desc,64,2012,0.00024819374084472656
merge,random,64,303,0.00018453598022460938
merge,asc,64,495,0.00011301040649414062
merge,desc,64,697,0.00011801719665527344
tim,random,64,385,0.00010347366333007812
tim,asc,64,509,5.936622619628906e-05
tim,desc,64,1050,0.00011944770812988281
insert,random,64,1150,0.00014472007751464844
